"gene_symbol","logFC","logCPM","F","PValue","BH_FDR_full_transcriptome_within_cell_type_supplementary","predicted_for_any_chemical_form","predicted_for_all_chemical_forms","predicted_for_any_sulfate_or_glucuronide","predicted_for_all_sulfate_and_glucuronide_forms","cell_type","minimum_nuclei","n_donors","n_et_donors","n_control_donors","nominal_p_lt_0_05","BH_FDR_all_target_gene_cell_type_tests_within_threshold_supplementary"
"PPARA",0.587252360936913,4.76416344667206,6.26162303262139,0.0136106236207508,0.328237227961868,TRUE,FALSE,TRUE,TRUE,"Endocytes",10,107,16,91,TRUE,0.174395463096653
"ADRA2A",-0.584518661959426,0.446658507223261,6.21422080500947,0.0139504414876344,0.177301625062066,TRUE,FALSE,TRUE,FALSE,"Granule",10,109,16,93,TRUE,0.17680668233241
"PRKCE",-0.177686500104313,9.20362038368206,6.18280258382916,0.0141440629700369,0.422815598528035,TRUE,FALSE,TRUE,TRUE,"UBC",10,107,16,91,TRUE,0.17733309057057
"NR3C1",-0.18291820413133,8.16951029927828,6.1863777366786,0.0143561067538988,0.101207825621302,TRUE,FALSE,FALSE,FALSE,"Bergmann",10,108,16,92,TRUE,0.178076813564319
"PTPN11",-0.192412252438299,6.19258634926079,6.09536327554041,0.0150247992467017,0.201535527811357,TRUE,FALSE,TRUE,TRUE,"Astrocytes",10,108,16,92,TRUE,0.18440964128057
"KAT2B",0.274619222133212,6.90320945540916,6.01148885723142,0.0157191679554154,0.346701112697519,TRUE,FALSE,FALSE,FALSE,"Endocytes",10,107,16,91,TRUE,0.190922394125149
"ERCC5",0.22272630324831,6.09149573440251,5.93541982994079,0.016322183031184,0.226462050093455,TRUE,FALSE,FALSE,FALSE,"OPC",10,108,16,92,TRUE,0.196202736230521
"MME",-0.998785669776881,3.11916499365134,5.79402416012137,0.0178000446163351,0.198130578755644,TRUE,FALSE,TRUE,FALSE,"Granule",10,109,16,93,TRUE,0.210970740557803
"SGMS2",-0.19291714021942,3.89333022752575,5.77087123287963,0.0179126100473607,0.198264921980638,TRUE,FALSE,FALSE,FALSE,"Granule",10,109,16,93,TRUE,0.210970740557803
"PPARD",-0.476043178899912,6.37243988039461,5.71581565521634,0.0185427433295902,0.370818747820189,TRUE,FALSE,TRUE,FALSE,"Endocytes",10,107,16,91,TRUE,0.214649637739095
"HDAC6",0.324098108820379,5.76797366511839,5.68701596539654,0.0185931504388067,0.335366082223987,TRUE,FALSE,FALSE,FALSE,"Golgi",10,106,16,90,TRUE,0.214649637739095
"APP",-0.222910136781575,8.34311586314989,5.66894887720216,0.0189652288141129,0.12041164724743,TRUE,TRUE,TRUE,TRUE,"Bergmann",10,108,16,92,TRUE,0.216798596051526
"YWHAG",0.262631834035507,6.46639680132254,5.58225429501512,0.0197508820635332,0.352940371524241,TRUE,FALSE,TRUE,FALSE,"Microglia",10,108,16,92,TRUE,0.223587655204657
"PPARD",0.337400938874878,5.66391035469789,5.50718384280346,0.0205528805732458,0.519431595736808,TRUE,FALSE,TRUE,FALSE,"Purkinje",10,108,16,92,TRUE,0.228889292852886
"TET2",0.269172096724463,5.83633639262404,5.50729922274336,0.0207067627411561,0.127846079312402,TRUE,FALSE,TRUE,TRUE,"Bergmann",10,108,16,92,TRUE,0.228889292852886
"PTPN1",-0.283848306702491,5.9817175623681,5.48158337609156,0.0208081175320805,0.465704049146608,TRUE,TRUE,TRUE,TRUE,"MLI_2",10,106,16,90,TRUE,0.228889292852886
"MAPK10",0.16855976667017,9.00097783004119,5.44963355168586,0.0212208228047161,0.522179765432627,TRUE,FALSE,TRUE,FALSE,"Purkinje",10,108,16,92,TRUE,0.229571676046145
"PRKCA",0.355852897466372,6.8128280939241,5.44961017258654,0.0214481821887102,0.364881059738622,TRUE,FALSE,TRUE,TRUE,"Microglia",10,108,16,92,TRUE,0.229571676046145
"MAPK10",0.245862696213812,9.20822195335371,5.43877778679899,0.021460817057487,0.236179647163882,TRUE,FALSE,TRUE,FALSE,"Astrocytes",10,108,16,92,TRUE,0.229571676046145
"MME",-0.9418597159911,3.16433646799724,5.3942432829954,0.0219634974136282,0.502034461451786,TRUE,FALSE,TRUE,FALSE,"MLI_1",10,108,16,92,TRUE,0.232813072584459
"KDM1A",-0.179932102228519,6.05408435152687,5.0936098673617,0.0259665655745232,0.147856168215956,TRUE,FALSE,TRUE,FALSE,"Bergmann",10,108,16,92,TRUE,0.272765905044091
"CNR1",-0.319349437524006,5.41052394435985,5.05968041306649,0.0264851450704945,0.149334371310712,TRUE,TRUE,TRUE,TRUE,"Bergmann",10,108,16,92,TRUE,0.275729278144613
"ALK",0.698845759001146,4.20372679933931,4.98549293433822,0.027144319076399,0.443187655925396,TRUE,FALSE,FALSE,FALSE,"Endocytes",10,107,16,91,TRUE,0.280090938434347
"DYRK1A",-0.218270829880449,8.55150399968055,4.9508383469763,0.0275460285805635,0.346144434616137,TRUE,FALSE,TRUE,TRUE,"Pericytes",10,102,16,86,TRUE,0.281742713376641
"HDAC6",0.23689283392721,5.67934572738669,4.90863208751945,0.0286895190506426,0.270338388624396,TRUE,FALSE,FALSE,FALSE,"Astrocytes",10,108,16,92,TRUE,0.290886775765646
"TET3",-0.168709280115114,6.73752146163923,4.87586980607541,0.029202892039081,0.546604588619419,TRUE,FALSE,TRUE,FALSE,"MLI_1",10,108,16,92,TRUE,0.293539414806625
"ACLY",0.461364763316917,4.96503804889008,4.85065889068335,0.0294975248524893,0.456711273321902,TRUE,FALSE,FALSE,FALSE,"Endocytes",10,107,16,91,TRUE,0.293966786136774
"CTNNB1",0.18909095270506,7.66547515427633,4.76781120217554,0.0309474272235901,0.421166469469216,TRUE,FALSE,TRUE,FALSE,"Microglia",10,108,16,92,TRUE,0.305802543582255
