"cell_type","gene_symbol","minimum_nuclei","logFC","PValue","nominal_p_lt_0_05","n_donors","n_et_donors","n_control_donors"
"Bergmann","CA3",20,-0.0152545796140247,0.882038890551896,FALSE,108,16,92
"Microglia","TET3",20,-0.00992436225364795,0.918522218122976,FALSE,107,16,91
"UBC","TET3",20,-0.00688715482051367,0.949552396230792,FALSE,103,16,87
"Bergmann","ADCY10",20,-0.0139550333353933,0.9523446559402,FALSE,108,16,92
"MLI_2","CA3",20,-0.00472569361226196,0.980786332882691,FALSE,104,16,88
"UBC","CA3",20,0.00422321010132774,0.983432090109324,FALSE,103,16,87
"Purkinje","ADCY10",20,-0.00332949369989363,0.993285994876911,FALSE,108,16,92
"PLI","TET3",20,-0.000903648551640797,0.993736385501609,FALSE,105,16,89
"Granule","CA12",30,0.856901079323845,0.000359294915081606,TRUE,109,16,93
"Purkinje","CA12",30,0.890131909591582,0.00507280121505159,TRUE,105,16,89
"Bergmann","CA12",30,0.682711455516241,0.0102310695925461,TRUE,108,16,92
"MLI_1","TET3",30,-0.168709280115114,0.029202892039081,TRUE,108,16,92
"Pericytes","CA4",30,0.510590149373099,0.0337939655058295,TRUE,91,16,75
"Astrocytes","CA12",30,0.591988815208211,0.0372799824374393,TRUE,107,16,91
"OPC","CA4",30,0.38705375485203,0.0709717611536613,FALSE,106,16,90
"Astrocytes","CA4",30,0.390139296994242,0.0779007026541755,FALSE,107,16,91
"Oligodendrocytes","CA4",30,0.356182229195299,0.0785625309289056,FALSE,106,16,90
"Purkinje","CA3",30,-0.292366994801252,0.0851024334126155,FALSE,105,16,89
"Microglia","CA3",30,-0.227648264933944,0.113940294760102,FALSE,105,16,89
"Granule","CA4",30,0.335413933501184,0.118664558564119,FALSE,109,16,93
"Purkinje","TET3",30,-0.143807541563367,0.129816460712058,FALSE,105,16,89
"Golgi","TET3",30,-0.159896130837408,0.139446610234659,FALSE,105,16,89
"Oligodendrocytes","ADCY10",30,0.323398923903057,0.140875225686655,FALSE,106,16,90
"MLI_2","CA4",30,0.456456973264088,0.150963441305755,FALSE,98,15,83
"Microglia","CA4",30,0.326882794489315,0.165401032172278,FALSE,105,16,89
"Oligodendrocytes","TET3",30,-0.110427606411018,0.165824335616694,FALSE,106,16,90
"MLI_2","ADCY10",30,-0.484588895154626,0.167078528827937,FALSE,98,15,83
"Bergmann","TET3",30,-0.0940349230428573,0.17915804532901,FALSE,108,16,92
"MLI_1","CA4",30,0.289179374710135,0.192658778917836,FALSE,108,16,92
"Endocytes","ADCY10",30,0.405901991076972,0.196314959009205,FALSE,99,16,83
"PLI","CA4",30,0.25839932842513,0.231489592942019,FALSE,98,16,82
